location,age,sex,measure,metric,pathogen,antibiotic_class,counterfactual,infectious_syndrome,year,val,upper,lower
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1990,46108.10531,64452.92588,27763.28473
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1991,45666.4188,64067.68184,27265.15576
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1992,44425.24618,61438.83709,27411.65527
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1993,43766.65827,60375.14583,27158.17069
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1994,42983.65144,59170.3943,26796.90858
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1995,42728.45473,58305.1415,27151.76798
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1996,41897.36022,58259.37736,25535.34309
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1997,40691.54301,56969.12919,24413.95684
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1998,41036.62003,56059.84814,26013.39194
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1999,39861.44221,55046.73016,24676.15427
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2000,39075.08461,54166.94152,23983.22771
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2001,38493.55124,52141.18966,24845.91282
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2002,38848.187,53317.82309,24378.5509
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2003,38185.16424,52493.0029,23877.32559
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2004,38200.04391,51623.95441,24776.13341
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2005,38868.96669,52205.67234,25532.26105
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2006,40189.82351,54058.70875,26320.93827
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2007,40802.32107,54508.14775,27096.49439
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2008,41036.50382,55925.90147,26147.10619
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2009,42835.64413,57395.25964,28276.02863
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2010,44676.90114,59479.10109,29874.7012
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2011,47723.62163,63409.07074,32038.17252
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2012,49546.46835,65242.68027,33850.25642
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2013,48808.42897,64058.07345,33558.78446
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2014,46724.15036,60882.67966,32565.62106
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2015,46834.72296,60180.3309,33489.11503
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2016,46111.74546,59521.04828,32702.44265
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2017,45381.84554,58426.37707,32337.314
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2018,43397.68142,56235.79466,30559.56819
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2019,40992.3978,53458.8149,28525.98069
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2020,36545.96936,47130.47526,25961.46347
Global,0 to 4,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2021,33948.85487,45251.30226,22646.40749
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1990,38.26262587,53.8362229,22.68902883
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1991,37.7611857,53.4750197,22.0473517
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1992,36.88941173,51.43665245,22.34217103
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1993,36.58189845,51.08098622,22.08281068
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1994,36.18316822,50.13528752,22.23104892
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1995,36.10354271,49.40357671,22.8035087
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1996,35.60431522,49.53456184,21.67406861
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1997,34.86312257,48.41435428,21.31189086
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1998,34.58218493,46.78124332,22.38312656
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1999,33.56409551,45.55787378,21.57031724
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2000,33.01524353,44.69480461,21.33568244
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2001,32.33408265,42.93733502,21.73083027
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2002,31.87735283,42.37323108,21.38147458
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2003,30.97580543,40.90019005,21.05142082
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2004,30.57995547,40.2005854,20.95932555
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2005,30.81585064,39.60537971,22.02632156
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2006,31.58389966,40.2777398,22.89005952
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2007,31.46898722,40.0485343,22.88944014
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2008,31.18322751,40.18814642,22.1783086
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2009,31.88312182,41.1232767,22.64296694
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2010,32.54098375,41.33721454,23.74475297
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2011,33.90383923,42.98064834,24.82703011
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2012,34.97655788,43.53422944,26.4188863
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2013,34.57333826,43.24750706,25.89916948
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2014,33.7195909,41.73184181,25.70734
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2015,33.64480724,41.26862333,26.02099115
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2016,32.74953182,40.58195615,24.9171075
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2017,32.08581135,39.31287041,24.85875229
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2018,30.39213352,38.22569869,22.55856836
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2019,29.0287991,36.42618048,21.63141773
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2020,26.19419161,32.95808695,19.43029627
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,2021,24.73264112,31.79526426,17.67001797
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,1990,7.437535867,10.39667418,4.478397553
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,1991,7.349011028,10.31029174,4.38773032
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,1992,7.149977533,9.888213182,4.411741886
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,1993,7.059182625,9.737987715,4.380377535
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,1994,6.961138746,9.5825578,4.339719692
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,1995,6.954412496,9.489648223,4.419176767
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,1996,6.845280012,9.518541245,4.17201878
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,1997,6.665320223,9.33160703,3.999033417
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,1998,6.7338604,9.19908099,4.268639807
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,1999,6.54768858,9.042042292,4.053334865
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2000,6.418327769,8.89725994,3.939395599
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2001,6.315058576,8.554021552,4.076095601
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2002,6.355201495,8.722299169,3.988103824
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2003,6.218127446,8.548036611,3.888218279
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2004,6.183444576,8.356374187,4.010514964
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2005,6.246419255,8.38968835,4.103150165
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2006,6.401508365,8.610569693,4.192447038
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2007,6.431673444,8.592124103,4.271222784
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2008,6.394469029,8.714593389,4.074344674
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2009,6.597458703,8.839901041,4.355016364
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2010,6.81542167,9.073484153,4.557359189
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2011,7.231800916,9.608696074,4.854905757
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2012,7.465105224,9.830034103,5.100176349
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2013,7.313432861,9.598432675,5.028433045
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2014,6.965790011,9.076590124,4.854989894
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2015,6.938369394,8.915465698,4.961273091
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2016,6.780790718,8.752645721,4.808935713
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2017,6.643935842,8.553664932,4.734206753
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2018,6.359559943,8.240875902,4.478243984
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2019,6.044979712,7.883350788,4.206608636
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2020,5.456308324,7.036573635,3.876043014
Global,0 to 4,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Attributable,All infectious syndromes,2021,5.158054569,6.875303664,3.440805469
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1990,4462.253931,6143.958967,2950.108933
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1991,4485.438494,6205.879449,2764.997538
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1992,4504.31468,6147.792715,2860.836646
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1993,4536.390917,6222.664229,2850.117605
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1994,5123.475109,7012.167852,3234.782365
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1995,4736.520322,6265.404047,3207.636597
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1996,4721.022987,6373.463298,3068.582675
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1997,4660.51223,6210.385357,3110.639105
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1998,4695.842153,6209.282454,3182.401852
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,1999,4776.014736,6225.956698,3326.072773
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2000,4821.292187,6325.612381,3316.971993
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2001,4730.021218,6121.249412,3338.793025
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2002,4508.90917,5694.160472,3323.657866
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2003,4312.366434,5436.850476,3187.88239
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2004,4374.901592,5452.382889,3297.420297
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2005,4686.129344,5732.013179,3640.245509
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2006,4849.914751,5894.307645,3805.521855
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2007,4870.615326,5933.737454,3807.493197
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2008,4887.282651,5927.74899,3846.816312
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2009,5107.545225,6186.530463,4028.559987
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2010,5426.07647,6631.173424,4220.979515
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2011,5733.806101,7015.949656,4451.662546
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2012,5683.315627,6862.017443,4504.613811
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2013,5596.129335,6766.132623,4426.126045
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2014,5817.77417,6935.815563,4699.732778
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2015,5932.476352,7107.9024,4757.050305
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2016,5804.716401,6861.110404,4748.322397
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2017,5926.594322,7140.69355,4712.495094
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2018,5723.383405,6969.520859,4477.245948
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2019,5572.187345,6670.989834,4473.384856
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2020,5220.993657,6284.060172,4157.927143
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Associated,All infectious syndromes,2021,4984.265225,6014.681336,3953.849116
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1990,906.2894266,1258.310504,554.2683494
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1991,907.5353178,1260.808588,554.2620478
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1992,907.1556509,1243.470936,570.8403662
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1993,910.7735844,1271.49572,550.051449
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1994,1049.117396,1450.951191,647.2836023
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1995,945.4678655,1280.534487,610.4012441
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1996,941.0504709,1294.052875,588.0480665
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1997,923.5613918,1260.789167,586.3336164
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1998,936.0924722,1280.846046,591.3388987
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,1999,945.8812286,1288.591391,603.1710666
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2000,951.3206176,1302.354812,600.2864232
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2001,936.4798471,1275.402606,597.5570882
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2002,902.0318321,1200.376053,603.6876109
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2003,865.3507064,1159.369198,571.332215
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2004,878.2830096,1168.409613,588.1564058
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2005,943.3318519,1245.861772,640.8019317
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2006,973.660036,1270.95906,676.3610118
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2007,982.5043254,1277.314899,687.693752
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2008,993.0128727,1300.505013,685.5207325
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2009,1044.800312,1360.67888,728.9217442
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2010,1120.734799,1460.008325,781.4612716
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2011,1202.812538,1584.245644,821.379432
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2012,1192.509066,1544.540906,840.4772252
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2013,1174.371586,1519.162842,829.5803305
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2014,1208.871951,1547.701917,870.041986
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2015,1230.997811,1561.708227,900.2873967
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2016,1205.067779,1542.122408,868.0131498
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2017,1227.228919,1558.85576,895.6020778
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2018,1195.481434,1542.930724,848.0321431
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2019,1161.844858,1486.673273,837.016443
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2020,1085.650821,1379.733456,791.5681866
Global,10 to 14,Both sexes,Deaths,Number,GNB,Carbapenems,Attributable,All infectious syndromes,2021,1038.527015,1323.200154,753.8538764
Global,10 to 14,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1990,0.833003288,1.146940112,0.550719543
Global,10 to 14,Both sexes,Deaths,"Rate (per 100,000)",GNB,Carbapenems,Associated,All infectious syndromes,1991,0.82751485,1.144917584,0.510112116
